direction_name,wheelchair_accessible,block_id,trip_id,direction_id,shape_id,route_id,service_id,trip_headsign
Eastbound,1,b_461025_Timetable_-_2025-12,2751__461025_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461029_Timetable_-_2025-12,2752__461029_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Eastbound,1,b_461031_Timetable_-_2025-12,2753__461031_Timetable_-_2025-12,0,100.0.1952649604_Timetable_-_2025-12,902,SatSun_merged_94406,Simpson
Northbound,1,b_261002_Timetable_-_2025-12,2754__261002_Timetable_-_2025-12,0,100.0.1938513581_Timetable_-_2025-12,905,SatSun_merged_94406,C - Uxbridge
Northbound,1,b_261024_Timetable_-_2025-12,2755__261024_Timetable_-_2025-12,0,100.0.1938513581_Timetable_-_2025-12,905,SatSun_merged_94406,C - Uxbridge
Northbound,1,b_261020_Timetable_-_2025-12,2756__261020_Timetable_-_2025-12,0,100.0.1938513581_Timetable_-_2025-12,905,SatSun_merged_94406,C - Uxbridge
Northbound,1,b_261032_Timetable_-_2025-12,2757__261032_Timetable_-_2025-12,0,100.0.1938513581_Timetable_-_2025-12,905,SatSun_merged_94406,C - Uxbridge
Northbound,1,b_261008_Timetable_-_2025-12,2758__261008_Timetable_-_2025-12,0,100.0.1938513581_Timetable_-_2025-12,905,SatSun_merged_94406,C - Uxbridge
Northbound,1,b_261024_Timetable_-_2025-12,2759__261024_Timetable_-_2025-12,0,100.0.1938513581_Timetable_-_2025-12,905,SatSun_merged_94406,C - Uxbridge
Northbound,1,b_401052_Timetable_-_2025-12,275__401052_Timetable_-_2025-12,0,100.0.1672883331_Timetable_-_2025-12,423,Weekday_merged_94407,Harmony Terminal
Northbound,1,b_261035_Timetable_-_2025-12,2760__261035_Timetable_-_2025-12,0,100.0.1938513581_Timetable_-_2025-12,905,SatSun_merged_94406,C - Uxbridge
Northbound,1,b_261032_Timetable_-_2025-12,2761__261032_Timetable_-_2025-12,0,100.0.1938513581_Timetable_-_2025-12,905,SatSun_merged_94406,C - Uxbridge
Northbound,1,b_261008_Timetable_-_2025-12,2762__261008_Timetable_-_2025-12,0,100.0.1938513581_Timetable_-_2025-12,905,SatSun_merged_94406,C - Uxbridge
Northbound,1,b_261024_Timetable_-_2025-12,2763__261024_Timetable_-_2025-12,0,100.0.1938513581_Timetable_-_2025-12,905,SatSun_merged_94406,C - Uxbridge
Northbound,1,b_261035_Timetable_-_2025-12,2764__261035_Timetable_-_2025-12,0,100.0.1938513581_Timetable_-_2025-12,905,SatSun_merged_94406,C - Uxbridge
Northbound,1,b_261032_Timetable_-_2025-12,2765__261032_Timetable_-_2025-12,0,100.0.1938513581_Timetable_-_2025-12,905,SatSun_merged_94406,C - Uxbridge
Northbound,1,b_261026_Timetable_-_2025-12,2766__261026_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261022_Timetable_-_2025-12,2767__261022_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261016_Timetable_-_2025-12,2768__261016_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261019_Timetable_-_2025-12,2769__261019_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_401043_Timetable_-_2025-12,276__401043_Timetable_-_2025-12,0,100.0.1672883331_Timetable_-_2025-12,423,Weekday_merged_94407,Harmony Terminal
Northbound,1,b_261026_Timetable_-_2025-12,2770__261026_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261022_Timetable_-_2025-12,2771__261022_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261016_Timetable_-_2025-12,2772__261016_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261019_Timetable_-_2025-12,2773__261019_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261026_Timetable_-_2025-12,2774__261026_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261022_Timetable_-_2025-12,2775__261022_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261016_Timetable_-_2025-12,2776__261016_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261019_Timetable_-_2025-12,2777__261019_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261026_Timetable_-_2025-12,2778__261026_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261022_Timetable_-_2025-12,2779__261022_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_401037_Timetable_-_2025-12,277__401037_Timetable_-_2025-12,0,100.0.1672883331_Timetable_-_2025-12,423,Weekday_merged_94407,Harmony Terminal
Northbound,1,b_261016_Timetable_-_2025-12,2780__261016_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261019_Timetable_-_2025-12,2781__261019_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
Northbound,1,b_261026_Timetable_-_2025-12,2782__261026_Timetable_-_2025-12,0,100.0.1938513583_Timetable_-_2025-12,905,SatSun_merged_94406,A - Windfields Farm
